yes,confirmation
sure,confirmation
of course,confirmation
true,confirmation
good,confirmation
certainly,confirmation
definitely,confirmation
even so,confirmation
exactly,confirmation
just so,confirmation
naturally,confirmation
yep,confirmation
very well,confirmation
all right,confirmation
aye,confirmation
yea,confirmation
gladly,confirmation
surely,confirmation
precisely,confirmation
surely,confirmation
I would like that.,confirmation
Yes you can do that.,confirmation
Please do so.,confirmation
That would be great.,confirmation
why not,confirmation
no,confirmation
Dont do that,rejection
negative,rejection
absolutely not,rejection
by no means,rejection
never,rejection
no way,rejection
not at all,rejection
not by all means,rejection
nay,rejection
not,rejection
